iter	RMSE
0	0.2228284291
1	0.2177206241
2	0.2129678676
3	0.2083993396
4	0.2042197334
5	0.200470364
6	0.1967589857
7	0.1935254139
8	0.1904245563
9	0.1873772825
10	0.1845693268
11	0.1819006408
12	0.1794770254
13	0.1771963686
14	0.174992607
15	0.1729340122
16	0.1710063459
17	0.1691966751
18	0.1674582824
19	0.1658454111
20	0.1643550927
21	0.163021192
22	0.1617560381
23	0.160520526
24	0.1592880689
25	0.1581595608
26	0.1571265152
27	0.1561159231
28	0.1550877305
29	0.1541121257
30	0.1532562393
31	0.1524932222
32	0.151679486
33	0.1508729128
34	0.1500973414
35	0.1493636342
36	0.1487455305
37	0.1480694475
38	0.147454829
39	0.1468310876
40	0.1462593734
41	0.1457156659
42	0.1452114011
43	0.144698276
44	0.144207953
45	0.143768507
46	0.1433293472
47	0.1428966783
48	0.1424753233
49	0.1420266368
50	0.1416500026
51	0.1412590039
52	0.1408790787
53	0.1405469748
54	0.1401971586
55	0.1398390969
56	0.1394731991
57	0.1391715595
58	0.1388798346
59	0.1385854873
60	0.1383160149
61	0.1380294221
62	0.1377720705
63	0.137540317
64	0.1372752215
65	0.1369913749
66	0.1367324194
67	0.1364714622
68	0.1362577396
69	0.1360522975
70	0.1358441085
71	0.1356268871
72	0.1354314484
73	0.1352635199
74	0.1350652177
75	0.1348589232
76	0.134661072
77	0.1344677599
78	0.1342765535
79	0.1341157746
80	0.1339438865
81	0.1338151056
82	0.1336490926
83	0.1335037066
84	0.1333739276
85	0.1332316197
86	0.1330911569
87	0.1329600867
88	0.1327995859
89	0.1326600414
90	0.1325087461
91	0.1323767311
92	0.132245029
93	0.1320914194
94	0.1319823918
95	0.1318320523
96	0.1316743017
97	0.1315727578
98	0.1314538082
99	0.1313109323
100	0.1311940262
101	0.1310974164
102	0.1309693378
103	0.1308736228
104	0.1307524015
105	0.1306335151
106	0.1305394679
107	0.1304443165
108	0.1303356203
109	0.1302357911
110	0.1301645548
111	0.130042307
112	0.1299663074
113	0.1298717444
114	0.1297828373
115	0.1297036583
116	0.1296089219
117	0.1294970667
118	0.1294082509
119	0.1293303064
120	0.1292438903
121	0.129155396
122	0.129079128
123	0.128998861
124	0.1289180839
125	0.1288482526
126	0.1287852567
127	0.1286968919
128	0.1286283003
129	0.1285468316
130	0.1284823186
131	0.1284241313
132	0.1283565601
133	0.1282891858
134	0.1282280674
135	0.1281653887
136	0.1281042057
137	0.1280565249
138	0.128002878
139	0.1279308677
140	0.1278725538
141	0.1278216454
142	0.1277661033
143	0.1277053183
144	0.1276476026
145	0.1275914355
146	0.1275406299
147	0.1274983509
148	0.1274362993
149	0.1273948355
150	0.1273314021
151	0.127259368
152	0.1272119206
153	0.1271612367
154	0.1271067431
155	0.1270674013
156	0.1269984447
157	0.1269475009
158	0.126893733
159	0.1268429887
160	0.1268023626
161	0.1267574116
162	0.1267063476
163	0.1266656114
164	0.1266086101
165	0.1265627266
166	0.1265127725
167	0.1264715264
168	0.1264296848
169	0.1263824065
170	0.1263376451
171	0.1263007186
172	0.1262616341
173	0.1262263958
174	0.1261941572
175	0.1261455842
176	0.1260929503
177	0.1260474562
178	0.1260014393
179	0.1259510634
180	0.1259233222
181	0.1258799426
182	0.1258233315
183	0.1257879245
184	0.1257572418
185	0.1257254928
186	0.1256700108
187	0.1256308166
188	0.1255931822
189	0.1255500479
190	0.1255075023
191	0.1254697062
192	0.125437348
193	0.125396941
194	0.1253498992
195	0.125308759
196	0.1252590191
197	0.1251780511
198	0.1251379146
199	0.1250974446
200	0.1250373605
201	0.1249847003
202	0.1249311315
203	0.1248934215
204	0.1248435857
205	0.1248006364
206	0.1247704915
207	0.1247251027
208	0.1246825653
209	0.1246365405
210	0.1245805783
211	0.1245300976
212	0.1244904922
213	0.1244337113
214	0.1243928383
215	0.1243362816
216	0.1242893473
217	0.1242635549
218	0.1242201403
219	0.1241803514
220	0.1241492517
221	0.1241073363
222	0.1240683587
223	0.1240070716
224	0.1239685692
225	0.1239359493
226	0.1239087353
227	0.1238712309
228	0.1238394375
229	0.1237993881
230	0.1237767865
231	0.1237331322
232	0.1236924848
233	0.1236455411
234	0.1236133201
235	0.1235789422
236	0.1235486768
237	0.1235170376
238	0.123480641
239	0.1234385408
240	0.1233956032
241	0.1233625897
242	0.1233316948
243	0.1232815113
244	0.1232273226
245	0.1231760173
246	0.1231288713
247	0.1230716364
248	0.1230441576
249	0.1230233564
250	0.1229847062
251	0.1229264159
252	0.1228901634
253	0.122840641
254	0.1228024803
255	0.1227509258
256	0.1227095662
257	0.12266723
258	0.1226181799
259	0.1225948569
260	0.1225622242
261	0.1225264172
262	0.1224725264
263	0.1224320652
264	0.1224076366
265	0.1223620399
266	0.1223237365
267	0.1223007096
268	0.1222659397
269	0.1222218245
270	0.1221764649
271	0.1221519607
272	0.1221251126
273	0.1220917337
274	0.1220607888
275	0.122024567
276	0.1219918152
277	0.1219752608
278	0.1219461391
279	0.1219079148
280	0.1218764222
281	0.1218414253
282	0.1218085067
283	0.1217793722
284	0.1217412334
285	0.1217151317
286	0.1216777866
287	0.1216327869
288	0.1215974781
289	0.1215489955
290	0.1215338421
291	0.1215049013
292	0.1214928443
293	0.1214652225
294	0.1214139306
295	0.1213819551
296	0.1213429149
297	0.1213018499
298	0.1212617152
299	0.121229072
300	0.1212014794
301	0.1211848489
302	0.1211610198
303	0.1211257931
304	0.1210859228
305	0.1210628414
306	0.1210419969
307	0.1210209276
308	0.1209793085
309	0.1209487804
310	0.1209273738
311	0.1209159725
312	0.1208910817
313	0.1208556874
314	0.1208248256
315	0.1208153787
316	0.1207805309
317	0.1207540372
318	0.1207118551
319	0.1206681444
320	0.1206167171
321	0.1205784702
322	0.1205379257
323	0.1205321504
324	0.1205210816
325	0.1204725116
326	0.1204192175
327	0.1203767292
328	0.1203425228
329	0.1203086642
330	0.1202851887
331	0.1202536754
332	0.1202236479
333	0.120186509
334	0.1201624521
335	0.1201509778
336	0.120117104
337	0.1200892007
338	0.1200568461
339	0.1200139269
340	0.1199738254
341	0.1199397038
342	0.1199118568
343	0.1198717937
344	0.1198359364
345	0.1198151827
346	0.1198093635
347	0.1197804938
348	0.1197537354
349	0.1197150035
350	0.1196927519
351	0.1196611934
352	0.1196388137
353	0.1196292077
354	0.1196057146
355	0.1195694665
356	0.1195305272
357	0.119497408
358	0.1194723245
359	0.1194276514
360	0.1194023069
361	0.1193534372
362	0.1193204791
363	0.1192930986
364	0.1192491057
365	0.1192244614
366	0.1192037293
367	0.1191954424
368	0.1191605334
369	0.1191300823
370	0.1191078442
371	0.1190749024
372	0.1190308421
373	0.1190020917
374	0.1189859326
375	0.1189495657
376	0.1189161803
377	0.1188827869
378	0.1188713961
379	0.1188506496
380	0.1188138304
381	0.1187871368
382	0.1187630647
383	0.1187255827
384	0.1187038676
385	0.1186782278
386	0.118656546
387	0.1186215859
388	0.1186144069
389	0.1185959073
390	0.118562897
391	0.1185379209
392	0.1185027931
393	0.118491443
394	0.1184486356
395	0.1184339754
396	0.1184186156
397	0.118380322
398	0.1183457276
399	0.118305481
400	0.1182820179
401	0.1182496786
402	0.1182186376
403	0.1181788052
404	0.1181431709
405	0.1181294441
406	0.1181112163
407	0.1180780385
408	0.1180469568
409	0.1180193771
410	0.1179780282
411	0.1179412199
412	0.1179143123
413	0.1178800928
414	0.1178643399
415	0.1178357648
416	0.1178151643
417	0.1177805749
418	0.1177493411
419	0.1177197553
420	0.1177017851
421	0.1176789594
422	0.1176506551
423	0.1176207087
424	0.1175940097
425	0.1175656835
426	0.117545637
427	0.117525292
428	0.1175015936
429	0.1174784155
430	0.1174552537
431	0.1174323376
432	0.1173897587
433	0.1173443152
434	0.1173375555
435	0.1172979874
436	0.1172627539
437	0.1172320063
438	0.1171902181
439	0.1171463768
440	0.1170995934
441	0.1170750848
442	0.1170454308
443	0.1170076536
444	0.1169885644
445	0.1169645383
446	0.1169418585
447	0.116922573
448	0.1168994023
449	0.1168739444
450	0.116839105
451	0.1168234177
452	0.1168030973
453	0.1167607847
454	0.1167383367
455	0.1167181095
456	0.1166817524
457	0.1166590627
458	0.1166374534
459	0.1166093683
460	0.1165747237
461	0.1165452869
462	0.1165218474
463	0.1164956352
464	0.1164916803
465	0.1164625637
466	0.1164157293
467	0.1163859882
468	0.1163641296
469	0.1163528491
470	0.1163493939
471	0.1163168463
472	0.1162934931
473	0.1162758652
474	0.1162552565
475	0.1162205666
476	0.1161936295
477	0.116159631
478	0.1161556227
479	0.1161450113
480	0.1161162192
481	0.1160901219
482	0.116051816
483	0.1160157285
484	0.1159922798
485	0.1159632859
486	0.1159578679
487	0.1159327266
488	0.1158953355
489	0.1158712052
490	0.1158398067
491	0.1158338737
492	0.1158051505
493	0.115770992
494	0.1157404493
495	0.1157011956
496	0.1156748077
497	0.1156336395
498	0.1156313648
499	0.1156005539
