iter	Passed	Remaining
0	3	1779
1	7	1910
2	11	1848
3	14	1801
4	17	1742
5	20	1703
6	23	1671
7	27	1665
8	30	1662
9	33	1638
10	36	1623
11	39	1616
12	42	1604
13	46	1602
14	49	1589
15	52	1591
16	55	1590
17	59	1584
18	62	1578
19	65	1572
20	68	1569
21	72	1567
22	75	1566
23	78	1565
24	82	1562
25	85	1558
26	88	1556
27	91	1548
28	95	1543
29	98	1539
30	101	1535
31	104	1535
32	108	1532
33	111	1529
34	114	1526
35	117	1519
36	120	1512
37	124	1512
38	127	1507
39	130	1500
40	133	1498
41	136	1490
42	139	1487
43	143	1483
44	146	1481
45	149	1479
46	153	1478
47	156	1476
48	160	1473
49	163	1472
50	166	1468
51	170	1464
52	173	1462
53	176	1459
54	179	1454
55	182	1450
56	185	1445
57	189	1441
58	192	1438
59	195	1432
60	198	1428
61	201	1426
62	205	1424
63	208	1420
64	211	1418
65	215	1417
66	218	1413
67	221	1408
68	225	1406
69	228	1405
70	231	1401
71	235	1397
72	238	1392
73	242	1394
74	245	1391
75	248	1388
76	252	1385
77	255	1382
78	258	1378
79	262	1376
80	265	1373
81	268	1369
82	271	1366
83	275	1362
84	278	1358
85	281	1355
86	285	1353
87	288	1350
88	291	1347
89	295	1344
90	298	1340
91	301	1337
92	304	1332
93	307	1328
94	310	1325
95	314	1322
96	317	1317
97	320	1314
98	323	1309
99	326	1307
100	329	1303
101	333	1300
102	336	1297
103	339	1293
104	342	1289
105	345	1285
106	348	1281
107	352	1278
108	355	1274
109	358	1270
110	361	1266
111	364	1262
112	367	1259
113	370	1254
114	373	1251
115	376	1247
116	379	1243
117	383	1240
118	386	1238
119	389	1234
120	393	1231
121	396	1229
122	400	1226
123	403	1223
124	406	1220
125	409	1216
126	412	1212
127	416	1210
128	419	1206
129	423	1204
130	426	1200
131	429	1197
132	432	1193
133	436	1190
134	438	1186
135	442	1183
136	445	1179
137	448	1176
138	451	1172
139	454	1168
140	457	1165
141	460	1161
142	464	1160
143	468	1157
144	471	1153
145	474	1150
146	477	1147
147	480	1143
148	484	1140
149	487	1137
150	490	1134
151	493	1130
152	497	1127
153	500	1125
154	504	1122
155	507	1119
156	510	1116
157	514	1113
158	517	1110
159	520	1106
160	524	1103
161	527	1100
162	530	1096
163	533	1093
164	537	1090
165	540	1087
166	543	1084
167	547	1081
168	550	1077
169	553	1074
170	556	1071
171	560	1068
172	563	1065
173	566	1062
174	570	1059
175	573	1056
176	577	1053
177	580	1049
178	583	1046
179	587	1043
180	590	1041
181	593	1037
182	597	1034
183	600	1031
184	603	1028
185	607	1025
186	610	1022
187	613	1018
188	617	1015
189	620	1012
190	623	1009
191	626	1005
192	629	1001
193	632	998
194	635	994
195	638	990
196	641	986
197	645	983
198	648	980
199	651	976
200	654	973
201	657	970
202	660	966
203	663	962
204	666	959
205	670	956
206	673	953
207	676	949
208	680	946
209	683	943
210	686	940
211	689	937
212	693	934
213	696	930
214	699	927
215	702	924
216	705	920
217	708	917
218	712	914
219	715	910
220	718	907
221	722	904
222	725	901
223	728	897
224	731	894
225	735	891
226	738	887
227	741	884
228	745	881
229	748	878
230	751	875
231	754	871
232	758	868
233	761	865
234	765	862
235	768	859
236	771	856
237	775	853
238	778	850
239	781	847
240	785	844
241	788	840
242	792	837
243	795	834
244	798	831
245	802	828
246	806	825
247	809	822
248	812	819
249	815	815
250	818	812
251	821	808
252	825	805
253	828	802
254	831	798
255	834	795
256	837	791
257	840	788
258	844	785
259	847	782
260	851	779
261	854	776
262	857	773
263	861	770
264	865	767
265	868	763
266	871	760
267	874	757
268	878	754
269	881	751
270	884	747
271	887	744
272	891	740
273	894	737
274	898	734
275	901	731
276	904	728
277	907	724
278	911	721
279	914	718
280	917	715
281	921	712
282	924	708
283	927	705
284	930	702
285	933	698
286	937	695
287	940	692
288	943	688
289	946	685
290	949	682
291	952	678
292	956	675
293	959	672
294	963	669
295	966	666
296	970	663
297	973	659
298	976	656
299	980	653
300	984	650
301	988	647
302	991	644
303	994	641
304	998	638
305	1001	634
306	1004	631
307	1007	628
308	1011	625
309	1015	622
310	1018	618
311	1021	615
312	1025	612
313	1028	609
314	1031	605
315	1034	602
316	1037	599
317	1041	596
318	1044	592
319	1047	589
320	1050	585
321	1053	582
322	1057	579
323	1060	576
324	1063	572
325	1067	569
326	1070	566
327	1073	562
328	1076	559
329	1080	556
330	1083	553
331	1087	550
332	1090	546
333	1093	543
334	1096	540
335	1099	536
336	1103	533
337	1106	530
338	1109	527
339	1112	523
340	1115	520
341	1119	516
342	1122	513
343	1125	510
344	1128	507
345	1132	503
346	1135	500
347	1138	497
348	1141	493
349	1144	490
350	1147	487
351	1151	484
352	1154	480
353	1158	477
354	1160	474
355	1164	470
356	1167	467
357	1171	464
358	1174	461
359	1178	458
360	1181	454
361	1184	451
362	1188	448
363	1191	445
364	1195	442
365	1198	438
366	1202	435
367	1205	432
368	1208	429
369	1211	425
370	1215	422
371	1218	419
372	1221	415
373	1225	412
374	1228	409
375	1231	406
376	1234	402
377	1238	399
378	1241	396
379	1244	393
380	1247	389
381	1251	386
382	1254	383
383	1258	380
384	1261	376
385	1264	373
386	1268	370
387	1271	367
388	1275	363
389	1278	360
390	1281	357
391	1284	353
392	1288	350
393	1291	347
394	1294	344
395	1298	340
396	1301	337
397	1304	334
398	1308	331
399	1311	327
400	1315	324
401	1318	321
402	1321	318
403	1324	314
404	1327	311
405	1331	308
406	1334	304
407	1338	301
408	1341	298
409	1344	295
410	1347	291
411	1350	288
412	1354	285
413	1357	281
414	1360	278
415	1363	275
416	1367	272
417	1370	268
418	1373	265
419	1376	262
420	1380	258
421	1383	255
422	1386	252
423	1389	249
424	1392	245
425	1396	242
426	1399	239
427	1402	236
428	1406	232
429	1409	229
430	1412	226
431	1416	222
432	1419	219
433	1422	216
434	1426	213
435	1429	209
436	1433	206
437	1436	203
438	1439	200
439	1443	196
440	1446	193
441	1450	190
442	1453	187
443	1456	183
444	1459	180
445	1463	177
446	1466	173
447	1468	170
448	1472	167
449	1475	163
450	1478	160
451	1481	157
452	1484	154
453	1488	150
454	1491	147
455	1495	144
456	1498	141
457	1501	137
458	1504	134
459	1507	131
460	1511	127
461	1515	124
462	1518	121
463	1521	118
464	1524	114
465	1528	111
466	1531	108
467	1534	104
468	1537	101
469	1540	98
470	1543	95
471	1546	91
472	1549	88
473	1552	85
474	1556	81
475	1559	78
476	1562	75
477	1565	72
478	1568	68
479	1571	65
480	1575	62
481	1578	58
482	1582	55
483	1585	52
484	1588	49
485	1591	45
486	1595	42
487	1598	39
488	1601	36
489	1605	32
490	1608	29
491	1611	26
492	1614	22
493	1617	19
494	1621	16
495	1624	13
496	1627	9
497	1631	6
498	1633	3
499	1636	0
