,player.id,player.name,offsides,games.minutes,games.number,games.position,games.rating,games.captain,games.substitute,shots.total,shots.on,goals.total,goals.conceded,goals.assists,goals.saves,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,dribbles.past,fouls.drawn,fouls.committed,cards.yellow,cards.red,penalty.won,penalty.commited,penalty.scored,penalty.missed,penalty.saved,fixture
0,280,Alisson,0.0,90.0,1,G,6.7,False,False,,,,1,,2.0,28.0,,24,,,,,,,,,,,0,0,,,0,0,0.0,867961
1,283,Trent Alexander-Arnold,1.0,90.0,66,D,8,False,False,1.0,,,0,,,94.0,5.0,74,1.0,,1.0,5.0,2.0,,,3.0,,,0,0,,,0,0,,867961
2,127472,Nathaniel Phillips,0.0,63.0,47,D,7.2,False,False,,,,0,,,79.0,,68,2.0,,2.0,7.0,6.0,,,,,1.0,0,0,,,0,0,,867961
3,290,Virgil van Dijk,0.0,90.0,4,D,6.9,False,False,1.0,,,0,,,80.0,,72,,,,,,,,,,,0,0,,,0,0,,867961
4,289,Andrew Robertson,0.0,63.0,26,D,6.3,False,False,,,,0,,,55.0,,45,,,1.0,6.0,1.0,1.0,,1.0,,,0,0,,,0,0,,867961
5,19035,Harvey Elliott,0.0,79.0,19,M,7.7,False,False,1.0,1.0,,0,,,60.0,2.0,54,5.0,,2.0,11.0,6.0,1.0,1.0,2.0,,1.0,0,0,,,0,0,,867961
6,299,Fabinho,0.0,90.0,3,M,7.3,False,False,,,,0,,,122.0,1.0,115,3.0,,2.0,12.0,5.0,,,4.0,1.0,2.0,0,0,,,0,0,,867961
7,296,James Milner,0.0,63.0,7,M,6.9,True,False,1.0,,,0,1.0,,38.0,2.0,33,1.0,,2.0,7.0,2.0,1.0,,2.0,,,0,0,,,0,0,,867961
8,306,Mohamed Salah,2.0,90.0,11,F,6.9,False,False,3.0,1.0,,0,,,32.0,8.0,26,,,,9.0,1.0,6.0,1.0,,,1.0,0,0,,,0,0,,867961
9,51617,Darwin Núñez,0.0,57.0,27,F,5.5,False,False,3.0,,,0,,,9.0,,6,,,,8.0,2.0,1.0,1.0,,1.0,1.0,0,1,,,0,0,,867961
10,2489,Luis Díaz,0.0,90.0,23,F,8.2,False,False,3.0,2.0,1.0,0,,,44.0,1.0,34,6.0,,1.0,28.0,16.0,10.0,7.0,,3.0,1.0,1,0,,,0,0,,867961
11,18812,Adrián,0.0,,13,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,867961
12,36922,Sepp van den Berg,0.0,,72,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,867961
13,310187,Stefan Bajčetić,0.0,,43,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,867961
14,284,Joe Gomez,0.0,27.0,2,D,6.9,False,True,,,,0,,,45.0,,44,,,1.0,2.0,1.0,,,,,,0,0,,,0,0,,867961
15,1600,Konstantinos Tsimikas,0.0,27.0,21,D,6.6,False,True,,,,0,,,17.0,,17,2.0,,,6.0,3.0,1.0,,1.0,1.0,,1,0,,,0,0,,867961
16,153066,Fabio Carvalho,0.0,11.0,28,M,6.2,False,True,1.0,,,0,,,5.0,,4,,,,4.0,1.0,,,,1.0,,0,0,,,0,0,,867961
17,334729,Bobby Clark,0.0,,42,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,867961
18,294,Naby Keïta,0.0,,8,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,867961
19,292,Jordan Henderson,0.0,27.0,14,M,7.2,False,True,,,,0,,,33.0,1.0,29,,,1.0,,,,,,,,0,0,,,0,0,,867961
