,feature,type,modeling_feature,encoded
0,player_id,numeric,0,0
1,player_name,categorical,0,0
2,offsides,numeric,1,0
3,games_minutes,numeric,0,0
4,games_number,numeric,0,0
5,games_position,categorical,0,0
6,games_rating,categorical,0,0
7,games_captain,other,0,0
8,games_substitute,other,0,0
9,shots_total,numeric,1,0
10,shots_on,numeric,1,0
11,goals_total,numeric,1,0
12,goals_conceded,numeric,1,0
13,goals_assists,numeric,1,0
14,goals_saves,numeric,1,0
15,passes_total,numeric,1,0
16,passes_key,numeric,1,0
17,passes_accuracy,numeric,1,0
18,tackles_total,numeric,1,0
19,tackles_blocks,numeric,1,0
20,tackles_interceptions,numeric,1,0
21,duels_total,numeric,1,0
22,duels_won,numeric,1,0
23,dribbles_attempts,numeric,1,0
24,dribbles_success,numeric,1,0
25,dribbles_past,numeric,1,0
26,fouls_drawn,numeric,1,0
27,fouls_committed,numeric,1,0
28,cards_yellow,numeric,1,0
29,cards_red,numeric,1,0
30,penalty_won,numeric,1,0
31,penalty_commited,numeric,1,0
32,penalty_scored,numeric,1,0
33,penalty_missed,numeric,1,0
34,penalty_saved,numeric,1,0
35,fixture_id,numeric,0,0
36,team_goals_scored,target,0,0
37,team_non_penalty_goals_scored,target,0,0
38,team_goals_scored_half,target,0,0
39,team_goals_conceded,target,0,0
40,team_non_penalty_goals_conceded,target,0,0
41,team_goals_conceded_half,target,0,0
42,opponent,target,0,0
43,team_winner,target,0,0
44,team,categorical,0,0
45,outcome,target,0,0
46,dribble_success_rate,numeric,1,0
47,target_shot_conversion_perc,numeric,1,0
48,duels_won_perc,numeric,1,0
49,pass_accuracy_perc,numeric,1,0
50,outcome_num,target,0,0
51,win,numeric,0,0
